"term","estimate","std.error","conf.low","conf.high","model","support"
"Depth",-0.134391556734325,0.0436782993646437,-0.219999450394986,-0.048783663073665,"2017-2022","Supported"
"Fric",0.252505318411661,0.0374842315926114,0.179037574501984,0.325973062321338,"Arctic","Supported"
"Feve",-0.295773455290839,0.0349135575478224,-0.364202770656738,-0.227344139924941,"Arctic","Supported"
"Tric",-0.146619898900803,0.0367300753807478,-0.21860952379651,-0.0746302740050956,"Arctic","Supported"
"Teve",-0.415666754754497,0.0377020951247511,-0.489561503340713,-0.341772006168282,"Arctic","Supported"
"SBT mean",0.124672420685845,0.0371884364994686,0.0517844245055318,0.197560416866158,"Arctic","Supported"
"SIC mean",0.012622408352832,0.0734453434186293,-0.131327819579857,0.156572636285521,"Arctic","Not supported"
"SBT SD",0.0998029424581749,0.0628017854432715,-0.023286295175449,0.222892180091799,"Arctic","Not supported"
"SST SD",0.0632997931248402,0.0497625948408785,-0.0342331005405404,0.160832686790221,"Arctic","Not supported"
"log chla mean",-0.00613016490913295,0.0395836457688126,-0.083712684992797,0.0714523551745311,"Arctic","Not supported"
"Depth",0.107438916289251,0.0455346599294391,0.0181926227792714,0.196685209799231,"Arctic","Supported"
"Fric",0.103368385084421,0.0293927791609044,0.0457595965235087,0.160977173645333,"Boreal","Supported"
"Feve",-0.135705212339388,0.0265876093560758,-0.187815969112316,-0.0835944555664589,"Boreal","Supported"
"Tric",0.101526243467576,0.0284265483269468,0.045811232541973,0.157241254393179,"Boreal","Supported"
"Teve",-0.465857313743904,0.0272329074965842,-0.51923283163152,-0.412481795856288,"Boreal","Supported"
"SBT mean",0.0485465431715454,0.0800133385683273,-0.108276718705186,0.205369805048276,"Boreal","Not supported"
"SIC mean",0.0326508320531762,0.0389075371085558,-0.0436065394067489,0.108908203513101,"Boreal","Not supported"
"SBT SD",0.0873895553637298,0.0333380758779788,0.0220481273290279,0.152730983398432,"Boreal","Supported"
"SST SD",-0.0458946800338701,0.0602926393433292,-0.164066081679658,0.0722767216119177,"Boreal","Not supported"
"log chla mean",-0.0410454687971008,0.0348297232181661,-0.109310471896205,0.0272195343020032,"Boreal","Not supported"
"Depth",-0.103448411739966,0.0438954987186771,-0.189482008311997,-0.0174148151679347,"Boreal","Supported"
"log fish. eff.",0.0666423920851275,0.0225395640064412,0.0224656584052675,0.110819125764988,"With fishing","Supported"
"Fric",0.194524918650903,0.0251472303896742,0.14523725277621,0.243812584525595,"With fishing","Supported"
"Feve",-0.225790476483604,0.0226073969043184,-0.27010016020027,-0.181480792766937,"With fishing","Supported"
"Tric",0.0169833113376823,0.0238238986383713,-0.0297106719648582,0.0636772946402228,"With fishing","Not supported"
"Teve",-0.448036337559446,0.0244022921407124,-0.495863951295467,-0.400208723823425,"With fishing","Supported"
"SBT mean",0.332751832157137,0.0700253160767696,0.195504734640635,0.469998929673639,"With fishing","Supported"
"SIC mean",-0.00478213524676912,0.0581781469159316,-0.118809207889275,0.109244937395737,"With fishing","Not supported"
"SBT SD",0.0483734095563266,0.035795356342438,-0.0217841996886292,0.118531018801282,"With fishing","Not supported"
"SST SD",0.0385143357691075,0.0335602710341423,-0.0272625867692143,0.104291258307429,"With fishing","Not supported"
"log chla mean",0.0552772211592452,0.0290835644833053,-0.00172551777008152,0.112279960088572,"With fishing","Not supported"
"Depth",-0.00759017363138944,0.0353500343129537,-0.0768749677370338,0.0616946204742549,"With fishing","Not supported"
"Fric",0.200408086182513,0.0176963209452123,0.165723934471035,0.235092237893991,"Main","Supported"
"Feve",-0.245863750477555,0.0168241752212143,-0.278838527980727,-0.212888972974384,"Main","Supported"
"Tric",0.0436291868303484,0.0172977802228842,0.0097261605810061,0.0775322130796907,"Main","Supported"
"Teve",-0.444277874294952,0.0179222697602202,-0.479404877546195,-0.409150871043709,"Main","Supported"
"SBT mean",0.302005984178313,0.0528591974921668,0.198403860841976,0.40560810751465,"Main","Supported"
"SIC mean",0.0572531387518042,0.0486221824427053,-0.038044587685634,0.152550865189242,"Main","Not supported"
"SBT SD",0.102744254301367,0.0294422626796442,0.0450384798258967,0.160450028776837,"Main","Supported"
"SST SD",0.0217607490761363,0.0268079468621624,-0.0307818612731655,0.0743033594254382,"Main","Not supported"
"log chla mean",0.0100402566393487,0.0216260750615478,-0.0323460716082448,0.0524265848869422,"Main","Not supported"
"Depth",0.0980533361798125,0.0258560138889591,0.0473764801736853,0.14873019218594,"Main","Supported"
"Feve",-0.331955020263586,0.0158245459212319,-0.362970560340901,-0.300939480186271,"Only Feve","Supported"
"SBT mean",0.258986143948251,0.0550014393768377,0.151185303671786,0.366786984224716,"Only Feve","Supported"
"SIC mean",0.0367430081534131,0.0512029086385668,-0.0636128486818727,0.137098864988699,"Only Feve","Not supported"
"SBT SD",0.0930561736510472,0.0316515326278922,0.0310203096448841,0.15509203765721,"Only Feve","Supported"
"SST SD",0.0491371049832791,0.0287757616187421,-0.00726235141716532,0.105536561383724,"Only Feve","Not supported"
"log chla mean",0.0237203097083427,0.0233453405168395,-0.0220357169114863,0.0694763363281717,"Only Feve","Not supported"
"Depth",-0.0229360586450602,0.027156029374719,-0.0761608981826212,0.0302887808925008,"Only Feve","Not supported"
"Fric",-0.101684666519277,0.0173748356207825,-0.135738718573314,-0.0676306144652394,"Only Fric","Supported"
"SBT mean",0.31413313525492,0.0571824955787426,0.202057503374464,0.426208767135376,"Only Fric","Supported"
"SIC mean",0.0505091788518174,0.0543147979827183,-0.0559458690218791,0.156964226725514,"Only Fric","Not supported"
"SBT SD",0.12909559955869,0.0335492414531915,0.0633402946017968,0.194850904515584,"Only Fric","Supported"
"SST SD",0.0562315946709544,0.0310094240393259,-0.00454575962745483,0.117008948969364,"Only Fric","Not supported"
"log chla mean",0.0334916711473197,0.0250013368207201,-0.0155100485866469,0.0824933908812863,"Only Fric","Not supported"
"Depth",-0.0413027497778945,0.0287310181420334,-0.0976145105754468,0.0150090110196579,"Only Fric","Not supported"
"Teve",-0.438068516727356,0.015968989006965,-0.469367160050523,-0.406769873404189,"Only Teve","Supported"
"SBT mean",0.371972346958218,0.0551337929793139,0.263912098387675,0.480032595528761,"Only Teve","Supported"
"SIC mean",0.0649860640164645,0.051105118141824,-0.0351781269671751,0.165150255000104,"Only Teve","Not supported"
"SBT SD",0.129984823088956,0.0309287726796988,0.0693655425507201,0.190604103627192,"Only Teve","Supported"
"SST SD",0.0298915056166092,0.0285036571801822,-0.0259746358842243,0.0857576471174428,"Only Teve","Not supported"
"log chla mean",0.0218357278018357,0.022756164543114,-0.0227655351289352,0.0664369907326066,"Only Teve","Not supported"
"Depth",0.0655549611658779,0.0268214268740626,0.0129859304787405,0.118123991853015,"Only Teve","Supported"
"Tric",0.073188102104525,0.0188332840849848,0.0362755435873434,0.110100660621707,"Only Tric","Supported"
"SBT mean",0.27835349280526,0.0570537289966941,0.166530238788031,0.390176746822489,"Only Tric","Supported"
"SIC mean",0.0510207160888624,0.0542120374489613,-0.0552329248396383,0.157274357017363,"Only Tric","Not supported"
"SBT SD",0.130109849976185,0.0335479782016654,0.0643570209467859,0.195862679005584,"Only Tric","Supported"
"SST SD",0.0554172498515385,0.0309134001218006,-0.00517190102686675,0.116006400729944,"Only Tric","Not supported"
"log chla mean",0.0291883307657918,0.0250379878804481,-0.0198852237252368,0.0782618852568203,"Only Tric","Not supported"
"Depth",-0.0268564933349682,0.0284885748675346,-0.0826930740462089,0.0289800873762725,"Only Tric","Not supported"
"Fric",0.120015022381137,0.0159465995041164,0.0887602616771844,0.151269783085089,"CH FD","Supported"
"Feve",-0.15269826644289,0.0147376521648612,-0.181583533902697,-0.123812998983083,"CH FD","Supported"
"Teve",-0.439053610102642,0.0154544987158118,-0.469343870984754,-0.40876334922053,"CH FD","Supported"
"SBT mean",0.32648972353646,0.053017500502963,0.222577332000319,0.430402115072602,"CH FD","Supported"
"SIC mean",0.0757027653384707,0.0483396198761862,-0.0190411486452108,0.170446679322152,"CH FD","Not supported"
"SBT SD",0.12314121249074,0.0290757807694165,0.0661537293603018,0.180128695621179,"CH FD","Supported"
"SST SD",0.0374914253296656,0.02673902948134,-0.0149161094353155,0.0898989600946467,"CH FD","Not supported"
"log chla mean",0.0168676353150115,0.0216543451381279,-0.0255741012645191,0.0593093718945421,"CH FD","Not supported"
"Depth",0.0201916207821941,0.0253854097910805,-0.0295628681411141,0.0699461097055024,"CH FD","Not supported"
"Fric",0.236363609289671,0.0172382226747932,0.202577313689595,0.270149904889747,"Pielou","Supported"
"Feve",-0.17927751529598,0.01675233684526,-0.212111492169573,-0.146443538422387,"Pielou","Supported"
"Tric",0.0839560311035295,0.0169326975774945,0.0507685536905316,0.117143508516527,"Pielou","Supported"
"Teve",-0.558101570017525,0.0187562751844306,-0.594863193863131,-0.521339946171919,"Pielou","Supported"
"SBT mean",0.316334683478809,0.0511688167166136,0.216045645582716,0.416623721374903,"Pielou","Supported"
"SIC mean",0.0482945620914673,0.0473253777447535,-0.044461473843003,0.141050598025938,"Pielou","Not supported"
"SBT SD",0.0989679042692907,0.0285602949025683,0.0429907548724139,0.154945053666167,"Pielou","Supported"
"SST SD",0.0186684951485333,0.0261058732480378,-0.0324980762025884,0.069835066499655,"Pielou","Not supported"
"log chla mean",0.00449364349849387,0.0210043994263937,-0.0366742228941315,0.0456615098911192,"Pielou","Not supported"
"Depth",0.133257725490508,0.0251390460628619,0.083986100601605,0.18252935037941,"Pielou","Supported"
"Fric",0.113529387677769,0.0294578519721232,0.0557930587504951,0.171265716605042,"-Top 1","Supported"
"Feve",0.0657194645340749,0.0261044889926229,0.0145556062737118,0.116883322794438,"-Top 1","Supported"
"Tric",0.144288318657728,0.0262773315243756,0.0927856952601332,0.195790942055323,"-Top 1","Supported"
"Teve",-0.434844110485501,0.0275267235331884,-0.488795497222941,-0.38089272374806,"-Top 1","Supported"
"SBT mean",0.251606691930188,0.0774896036918501,0.0997298595178801,0.403483524342496,"-Top 1","Supported"
"SBT SD",0.0662305603982887,0.0382174655636851,-0.00867429568693379,0.141135416483511,"-Top 1","Not supported"
"SST SD",0.0380973680454655,0.0355890564626737,-0.0316559008651374,0.107850636956068,"-Top 1","Not supported"
"log chla mean",0.0456145394046763,0.0313086913495419,-0.0157493680435065,0.106978446852859,"-Top 1","Not supported"
"Depth",0.0864102130465962,0.0387515779463433,0.0104585159276667,0.162361910165526,"-Top 1","Supported"
"log fish. eff.",0.0714553560592581,0.0243831745954323,0.0236652120234587,0.119245500095057,"-Top 1","Supported"
"Fric",0.166380133578382,0.0283295340382899,0.110855267164532,0.221904999992232,"-Top 1 (Same diversty)","Supported"
"Feve",-0.0632800688925689,0.0253331578475819,-0.112932145888498,-0.0136279918966402,"-Top 1 (Same diversty)","Supported"
"Tric",0.103360223174216,0.0268780754460285,0.05068016332625,0.156040283022183,"-Top 1 (Same diversty)","Supported"
"Teve",-0.239419645761284,0.027604761350561,-0.293523983810207,-0.185315307712362,"-Top 1 (Same diversty)","Supported"
"SBT mean",0.231088579364552,0.0847241903159947,0.0650322177258849,0.397144941003218,"-Top 1 (Same diversty)","Supported"
"SBT SD",0.046122477811579,0.0408600948787906,-0.0339618365557401,0.126206792178898,"-Top 1 (Same diversty)","Not supported"
"SST SD",0.0258641942584629,0.0380008291509658,-0.0486160622600899,0.100344450777016,"-Top 1 (Same diversty)","Not supported"
"log chla mean",0.0415877068772749,0.0331395826793575,-0.0233646816369533,0.106540095391503,"-Top 1 (Same diversty)","Not supported"
"Depth",0.0634134903133743,0.0401662728230599,-0.015310957813033,0.142137938439782,"-Top 1 (Same diversty)","Not supported"
"log fish. eff.",0.0897824141116315,0.0258071582403537,0.0392013134172122,0.140363514806051,"-Top 1 (Same diversty)","Supported"
"Fric",-0.28130075752203,0.0349643255127425,-0.34982957627074,-0.21277193877332,"-Top 10","Supported"
"Feve",-0.129207607156662,0.0335544235930791,-0.194973068921098,-0.0634421453922255,"-Top 10","Supported"
"Tric",0.601021866186957,0.036616808355581,0.529254240581213,0.672789491792701,"-Top 10","Supported"
"Teve",-0.437670130808887,0.0344856779921651,-0.505260817655976,-0.370079443961798,"-Top 10","Supported"
"SBT mean",0.336357214052028,0.0898636304300635,0.160227734889086,0.51248669321497,"-Top 10","Supported"
"SBT SD",0.00167101307257577,0.048737549897078,-0.0938528294204209,0.0971948555655725,"-Top 10","Not supported"
"SST SD",0.0473484973491323,0.0436595714035107,-0.0382226901822035,0.132919684880468,"-Top 10","Not supported"
"log chla mean",0.0908855430465271,0.0386981553516248,0.0150385522892064,0.166732533803848,"-Top 10","Supported"
"Depth",-0.0377428927929757,0.0502463942681826,-0.136224015911613,0.060738230325662,"-Top 10","Not supported"
"log fish. eff.",0.038049786698068,0.0338822242823465,-0.0283581526114397,0.104457726007576,"-Top 10","Not supported"
"Fric",0.548782994032076,0.0420591232128795,0.4663486273135,0.631217360750653,"-Top 10 (Same diversty)","Supported"
"Feve",-0.166703659333519,0.0373524347060692,-0.239913086092298,-0.0934942325747393,"-Top 10 (Same diversty)","Supported"
"Tric",0.663159465175126,0.0389789930526044,0.586762042638385,0.739556887711868,"-Top 10 (Same diversty)","Supported"
"Teve",0.0477333926524909,0.0409152013053273,-0.0324589283261567,0.127925713631139,"-Top 10 (Same diversty)","Not supported"
"SBT mean",0.284086115310075,0.104015895509634,0.0802187062915113,0.487953524328638,"-Top 10 (Same diversty)","Supported"
"SBT SD",-0.0627119263939473,0.0570172643609464,-0.174463711038401,0.0490398582505068,"-Top 10 (Same diversty)","Not supported"
"SST SD",0.0612533064980489,0.0491873120897646,-0.0351520536942213,0.157658666690319,"-Top 10 (Same diversty)","Not supported"
"log chla mean",0.0832813454969687,0.0427896110701601,-0.000584751113021434,0.167147442106959,"-Top 10 (Same diversty)","Not supported"
"Depth",-0.0900601669938588,0.0594826728339687,-0.206644063452616,0.0265237294648989,"-Top 10 (Same diversty)","Not supported"
"log fish. eff.",0.104814677646587,0.0391134542860652,0.0281537159349457,0.181475639358229,"-Top 10 (Same diversty)","Supported"
"Fric",0.0499531003762383,0.0263027028222935,-0.00159924985151703,0.101505450603994,"-Top 2","Not supported"
"Feve",-0.0821275694253749,0.0294560658281224,-0.139860397574736,-0.024394741276014,"-Top 2","Supported"
"Tric",0.198927775239135,0.0287576721036894,0.142563773636691,0.255291776841578,"-Top 2","Supported"
"Teve",-0.352598857100657,0.0280118650128832,-0.407501103665705,-0.297696610535608,"-Top 2","Supported"
"SBT mean",0.20800185067747,0.0833213156856193,0.0446950727891635,0.371308628565776,"-Top 2","Supported"
"SBT SD",-0.0507437674650955,0.0411448353919525,-0.131386162983151,0.0298986280529604,"-Top 2","Not supported"
"SST SD",0.0363135406208673,0.0371974566153293,-0.0365921346616694,0.109219215903404,"-Top 2","Not supported"
"log chla mean",0.0262009983900545,0.0326322733067135,-0.0377570820247717,0.0901590788048806,"-Top 2","Not supported"
"Depth",0.239276487233244,0.0408747031278932,0.159163541223806,0.319389433242681,"-Top 2","Supported"
"log fish. eff.",0.0891408654148948,0.0260403982229875,0.0381026227547586,0.140179108075031,"-Top 2","Supported"
"Fric",0.0918162071546985,0.0301474775960936,0.0327282368416269,0.15090417746777,"-Top 2 (Same diversty)","Supported"
"Feve",0.0234305692229624,0.0266821829927708,-0.0288655484717755,0.0757266869177003,"-Top 2 (Same diversty)","Not supported"
"Tric",0.242036558606968,0.0286274499141817,0.185927787805947,0.298145329407988,"-Top 2 (Same diversty)","Supported"
"Teve",-0.18656861680523,0.0292553325098662,-0.243908014880311,-0.129229218730148,"-Top 2 (Same diversty)","Supported"
"SBT mean",0.216135761071896,0.093456607657695,0.0329641759455235,0.399307346198268,"-Top 2 (Same diversty)","Supported"
"SBT SD",-0.0449515127773929,0.0447029363664847,-0.132567658058889,0.042664632504103,"-Top 2 (Same diversty)","Not supported"
"SST SD",0.0333606464987161,0.0395882825693528,-0.0442309615470103,0.110952254544442,"-Top 2 (Same diversty)","Not supported"
"log chla mean",0.0301139669141294,0.0340984390773128,-0.0367177456064369,0.0969456794346956,"-Top 2 (Same diversty)","Not supported"
"Depth",0.277509525899478,0.0447490676013192,0.189802965059144,0.365216086739812,"-Top 2 (Same diversty)","Supported"
"log fish. eff.",0.111279971629018,0.028081988983057,0.0562402846079753,0.16631965865006,"-Top 2 (Same diversty)","Supported"
"Fric",-0.0299309946618582,0.0322287632257649,-0.0930982098506263,0.03323622052691,"-Top 3","Not supported"
"Feve",0.0158386160407843,0.0272595229621514,-0.0375890672007751,0.0692662992823437,"-Top 3","Not supported"
"Tric",0.27861433833483,0.0292001881920056,0.221383021136707,0.335845655532953,"-Top 3","Supported"
"Teve",-0.308210661626203,0.0269436531177616,-0.361019251348956,-0.25540207190345,"-Top 3","Supported"
"SBT mean",0.211549506162041,0.0900605187780668,0.0350341329280367,0.388064879396045,"-Top 3","Supported"
"SBT SD",-0.0331955958866387,0.0430651311802769,-0.117601701989474,0.051210510216197,"-Top 3","Not supported"
"SST SD",0.027107435735633,0.038871434122369,-0.0490791751716314,0.103294046642898,"-Top 3","Not supported"
"log chla mean",0.0229672022127835,0.0337344261459185,-0.0431510580723432,0.0890854624979101,"-Top 3","Not supported"
"Depth",0.0864510160339435,0.0428865378535526,0.00239494641936681,0.17050708564852,"-Top 3","Supported"
"log fish. eff.",0.0856543236767122,0.027057313894705,0.0326229629246953,0.138685684428729,"-Top 3","Supported"
"Fric",0.0931850313779123,0.0309996707591982,0.0324267931572844,0.15394326959854,"-Top 3 (Same diversty)","Supported"
"Feve",-0.00326986331011451,0.0274908650744685,-0.0571509687599227,0.0506112421396937,"-Top 3 (Same diversty)","Not supported"
"Tric",0.27913890021166,0.0295867499707324,0.221149935849433,0.337127864573887,"-Top 3 (Same diversty)","Supported"
"Teve",-0.0714870507048621,0.0301353812998872,-0.130551312713023,-0.0124227886967013,"-Top 3 (Same diversty)","Supported"
"SBT mean",0.203120505398022,0.0970156743399047,0.0129732777559418,0.393267733040101,"-Top 3 (Same diversty)","Supported"
"SBT SD",-0.0347132029286824,0.0460017376767801,-0.124874952001431,0.0554485461440659,"-Top 3 (Same diversty)","Not supported"
"SST SD",0.0348255690728779,0.0411004746645972,-0.0457298810172336,0.115381019162989,"-Top 3 (Same diversty)","Not supported"
"log chla mean",0.0179326156201706,0.0352877333429495,-0.0512300708280637,0.0870953020684048,"-Top 3 (Same diversty)","Not supported"
"Depth",0.069078549410655,0.04650601505577,-0.0220715651631316,0.160228663984442,"-Top 3 (Same diversty)","Not supported"
"log fish. eff.",0.111007662020985,0.028860456463028,0.0544422067760644,0.167573117265907,"-Top 3 (Same diversty)","Supported"
"Fric",0.0115003754496023,0.0274701142662899,-0.0423400591635258,0.0653408100627303,"-Top 4","Not supported"
"Feve",-0.0628389878271862,0.0280434272588075,-0.117803095257518,-0.00787488039685461,"-Top 4","Supported"
"Tric",0.29495076051312,0.0296037865925818,0.23692840498565,0.35297311604059,"-Top 4","Supported"
"Teve",-0.257434254469798,0.0282440286888561,-0.312791533478272,-0.202076975461325,"-Top 4","Supported"
"SBT mean",0.166498779728506,0.0931758663909927,-0.0161225626261559,0.349120122083168,"-Top 4","Not supported"
"SBT SD",-0.0287103761770747,0.043071719451193,-0.113129395053626,0.0557086426994768,"-Top 4","Not supported"
"SST SD",0.0488018555778559,0.0384921029132996,-0.0266412798214206,0.124244990977132,"-Top 4","Not supported"
"log chla mean",0.0312639773418866,0.0332784276179874,-0.0339605422514918,0.096488496935265,"-Top 4","Not supported"
"Depth",0.0724739747556683,0.0444341232775978,-0.0146153065530361,0.159563256064373,"-Top 4","Not supported"
"log fish. eff.",0.0829141142139574,0.0273897831786514,0.0292311256394397,0.136597102788475,"-Top 4","Supported"
"Fric",0.142761772751116,0.0306323948937614,0.0827233819991352,0.202800163503097,"-Top 4 (Same diversty)","Supported"
"Feve",-0.0382936222962971,0.0272350728560347,-0.0916733842104496,0.0150861396178554,"-Top 4 (Same diversty)","Not supported"
"Tric",0.285280020219077,0.0293298583582083,0.227794554165327,0.342765486272826,"-Top 4 (Same diversty)","Supported"
"Teve",-0.0374545201062369,0.0298366853040665,-0.0959333487202627,0.021024308507789,"-Top 4 (Same diversty)","Not supported"
"SBT mean",0.140224656176448,0.100818309376881,-0.0573755991844561,0.337824911537352,"-Top 4 (Same diversty)","Not supported"
"SBT SD",-0.023059898693974,0.0457963512374569,-0.112819097742736,0.0666993003547879,"-Top 4 (Same diversty)","Not supported"
"SST SD",0.0489500199375105,0.0406012259869402,-0.0306269207250641,0.128526960600085,"-Top 4 (Same diversty)","Not supported"
"log chla mean",0.0297276362192844,0.0347280757931596,-0.0383381415876855,0.0977934140262544,"-Top 4 (Same diversty)","Not supported"
"Depth",0.0536480072772165,0.0473312565471637,-0.03911955089825,0.146415565452683,"-Top 4 (Same diversty)","Not supported"
"log fish. eff.",0.103457248096167,0.0289427214187552,0.0467305565008309,0.160183939691503,"-Top 4 (Same diversty)","Supported"
"Fric",-0.0107565128952029,0.03264248821155,-0.0747346141556142,0.0532215883652083,"-Top 5","Not supported"
"Feve",-0.253590609430297,0.0389315158964028,-0.329894978450795,-0.177286240409799,"-Top 5","Supported"
"Tric",0.398617504406351,0.037017689532494,0.326064166131777,0.471170842680924,"-Top 5","Supported"
"Teve",-0.353602901869579,0.0323907132001681,-0.417087533175475,-0.290118270563683,"-Top 5","Supported"
"SBT mean",0.19202382321138,0.106085388528774,-0.0158997175909563,0.399947364013716,"-Top 5","Not supported"
"SBT SD",-0.0191117804226548,0.0485415977865735,-0.114251563836368,0.0760280029910584,"-Top 5","Not supported"
"SST SD",0.0328782421121427,0.0444073861784674,-0.0541586354452151,0.1199151196695,"-Top 5","Not supported"
"log chla mean",0.0295692963096101,0.0387503516695386,-0.0463799973509471,0.105518589970167,"-Top 5","Not supported"
"Depth",0.0566214932168416,0.0488612550208713,-0.0391448068634931,0.152387793297176,"-Top 5","Not supported"
"log fish. eff.",0.098112271280291,0.0322276204064501,0.0349472959762208,0.161277246584361,"-Top 5","Supported"
"Fric",0.292896894756837,0.0398025587312115,0.214885313151122,0.370908476362551,"-Top 5 (Same diversty)","Supported"
"Feve",-0.0755799036345746,0.03532805104842,-0.14482161133347,-0.006338195935679,"-Top 5 (Same diversty)","Supported"
"Tric",0.438644225101616,0.0375183247247158,0.365109659880895,0.512178790322338,"-Top 5 (Same diversty)","Supported"
"Teve",0.00218397116800254,0.0387044449005812,-0.0736753468787515,0.0780432892147565,"-Top 5 (Same diversty)","Not supported"
"SBT mean",0.0328897021327034,0.106734135178276,-0.176305358737747,0.242084763003154,"-Top 5 (Same diversty)","Not supported"
"SBT SD",-0.00604807094730293,0.055880813351073,-0.115572452542211,0.103476310647605,"-Top 5 (Same diversty)","Not supported"
"SST SD",0.0168198554680993,0.0488795016954421,-0.0789822074372317,0.11262191837343,"-Top 5 (Same diversty)","Not supported"
"log chla mean",0.0443704939605956,0.0421193118250654,-0.0381818402701446,0.126922828191336,"-Top 5 (Same diversty)","Not supported"
"Depth",0.132746351205534,0.0571946308255803,0.0206469346783325,0.244845767732736,"-Top 5 (Same diversty)","Supported"
"log fish. eff.",0.110250734594745,0.0371438970856151,0.0374500340614776,0.183051435128013,"-Top 5 (Same diversty)","Supported"
"Fric",-0.120709423896858,0.0339767871613289,-0.187302703043445,-0.0541161447502705,"-Top 6","Supported"
"Feve",0.0472191142918762,0.0333411706419141,-0.0181283793686795,0.112566607952432,"-Top 6","Not supported"
"Tric",0.566961652906217,0.0352407639098638,0.497891024855205,0.636032280957229,"-Top 6","Supported"
"Teve",-0.414855354496314,0.0305685168683029,-0.474768546618993,-0.354942162373636,"-Top 6","Supported"
"SBT mean",0.253989769707074,0.0971976606572834,0.063485855437253,0.444493683976895,"-Top 6","Supported"
"SBT SD",0.0507392570573831,0.047327265613273,-0.0420204790313928,0.143498993146159,"-Top 6","Not supported"
"SST SD",0.0378865510804357,0.0418510057823126,-0.0441399129696746,0.119913015130546,"-Top 6","Not supported"
"log chla mean",0.0412999646927337,0.0364509586528173,-0.0301426014687468,0.112742530854214,"-Top 6","Not supported"
"Depth",0.217350556490565,0.0496917252333483,0.119956564703542,0.314744548277588,"-Top 6","Supported"
"log fish. eff.",0.0747142217595732,0.0327686421638431,0.01048886329616,0.138939580222986,"-Top 6","Supported"
"Fric",0.379956728073637,0.0388241266423272,0.303862838123454,0.456050618023821,"-Top 6 (Same diversty)","Supported"
"Feve",-0.165926671151813,0.0343307880563515,-0.23321377930314,-0.0986395630004864,"-Top 6 (Same diversty)","Supported"
"Tric",0.50330820245035,0.0360858766937246,0.432581183780096,0.574035221120603,"-Top 6 (Same diversty)","Supported"
"Teve",0.057451888685611,0.0378359784075829,-0.0167052663130866,0.131609043684309,"-Top 6 (Same diversty)","Not supported"
