"","term","estimate","std.error","conf.low","conf.high","model"
"10...146","depth",-0.0377428927929757,0.0502463942681826,-0.136224015911613,0.060738230325662,"remove_10_biomass"
"11...147","log_sum_fishing",0.038049786698068,0.0338822242823465,-0.0283581526114397,0.104457726007576,"remove_10_biomass"
"2...148","kde_fric",0.548782994032076,0.0420591232128795,0.4663486273135,0.631217360750653,"remove_10_samediv_biomass"
"3...149","kde_feve",-0.166703659333519,0.0373524347060692,-0.239913086092298,-0.0934942325747393,"remove_10_samediv_biomass"
"4...150","tric",0.663159465175126,0.0389789930526044,0.586762042638385,0.739556887711868,"remove_10_samediv_biomass"
"5...151","teve",0.0477333926524909,0.0409152013053273,-0.0324589283261567,0.127925713631139,"remove_10_samediv_biomass"
"6...152","sbt_mean",0.284086115310075,0.104015895509634,0.0802187062915113,0.487953524328638,"remove_10_samediv_biomass"
"7...153","sbt_sd",-0.0627119263939473,0.0570172643609464,-0.174463711038401,0.0490398582505068,"remove_10_samediv_biomass"
"8...154","sst_sd",0.0612533064980489,0.0491873120897646,-0.0351520536942213,0.157658666690319,"remove_10_samediv_biomass"
"9...155","log_chla_mean",0.0832813454969687,0.0427896110701601,-0.000584751113021434,0.167147442106959,"remove_10_samediv_biomass"
"10...156","depth",-0.0900601669938588,0.0594826728339687,-0.206644063452616,0.0265237294648989,"remove_10_samediv_biomass"
"11...157","log_sum_fishing",0.104814677646587,0.0391134542860652,0.0281537159349457,0.181475639358229,"remove_10_samediv_biomass"
"2...158","remove_2_kde_fric",0.0499531003762383,0.0263027028222935,-0.00159924985151703,0.101505450603994,"remove_2_biomass"
"3...159","remove_2_kde_feve",-0.0821275694253749,0.0294560658281224,-0.139860397574736,-0.024394741276014,"remove_2_biomass"
"4...160","remove_2_tric",0.198927775239135,0.0287576721036894,0.142563773636691,0.255291776841578,"remove_2_biomass"
"5...161","remove_2_teve",-0.352598857100657,0.0280118650128832,-0.407501103665705,-0.297696610535608,"remove_2_biomass"
"6...162","sbt_mean",0.20800185067747,0.0833213156856193,0.0446950727891635,0.371308628565776,"remove_2_biomass"
"7...163","sbt_sd",-0.0507437674650955,0.0411448353919525,-0.131386162983151,0.0298986280529604,"remove_2_biomass"
"8...164","sst_sd",0.0363135406208673,0.0371974566153293,-0.0365921346616694,0.109219215903404,"remove_2_biomass"
